date,store_id,product_id,qty_sold,price,on_promo
2023-01-01,Store_1,Product_1,49,206,1
2023-01-02,Store_1,Product_1,28,202,0
2023-01-03,Store_1,Product_1,30,430,0
2023-01-04,Store_1,Product_1,46,199,1
2023-01-05,Store_1,Product_1,28,249,0
2023-01-06,Store_1,Product_1,40,393,1
2023-01-07,Store_1,Product_1,32,376,0
2023-01-08,Store_1,Product_1,31,121,0
2023-01-09,Store_1,Product_1,29,158,0
2023-01-10,Store_1,Product_1,30,287,0
2023-01-11,Store_1,Product_1,23,343,0
2023-01-12,Store_1,Product_1,29,406,0
2023-01-13,Store_1,Product_1,27,266,0
2023-01-14,Store_1,Product_1,47,415,1
2023-01-15,Store_1,Product_1,32,445,0
2023-01-16,Store_1,Product_1,25,191,0
2023-01-17,Store_1,Product_1,27,363,0
2023-01-18,Store_1,Product_1,38,149,1
2023-01-19,Store_1,Product_1,28,489,0
2023-01-20,Store_1,Product_1,26,409,0
2023-01-21,Store_1,Product_1,32,261,0
2023-01-22,Store_1,Product_1,55,369,1
2023-01-23,Store_1,Product_1,28,351,0
2023-01-24,Store_1,Product_1,44,312,1
2023-01-25,Store_1,Product_1,22,379,0
2023-01-26,Store_1,Product_1,45,287,1
2023-01-27,Store_1,Product_1,29,400,0
2023-01-28,Store_1,Product_1,31,108,0
2023-01-29,Store_1,Product_1,38,235,0
2023-01-30,Store_1,Product_1,28,180,0
2023-01-31,Store_1,Product_1,28,388,0
2023-02-01,Store_1,Product_1,31,330,0
2023-02-02,Store_1,Product_1,30,234,0
2023-02-03,Store_1,Product_1,29,132,0
2023-02-04,Store_1,Product_1,37,315,0
2023-02-05,Store_1,Product_1,35,459,0
2023-02-06,Store_1,Product_1,41,326,1
2023-02-07,Store_1,Product_1,40,230,1
2023-02-08,Store_1,Product_1,21,354,0
2023-02-09,Store_1,Product_1,27,306,0
2023-02-10,Store_1,Product_1,30,278,0
2023-02-11,Store_1,Product_1,37,195,0
2023-02-12,Store_1,Product_1,49,330,1
2023-02-13,Store_1,Product_1,31,112,0
2023-02-14,Store_1,Product_1,27,185,0
2023-02-15,Store_1,Product_1,22,161,0
2023-02-16,Store_1,Product_1,29,383,0
2023-02-17,Store_1,Product_1,39,430,1
2023-02-18,Store_1,Product_1,40,330,0
2023-02-19,Store_1,Product_1,31,382,0
2023-02-20,Store_1,Product_1,44,332,1
2023-02-21,Store_1,Product_1,23,236,0
2023-02-22,Store_1,Product_1,25,333,0
2023-02-23,Store_1,Product_1,43,473,1
2023-02-24,Store_1,Product_1,28,212,0
2023-02-25,Store_1,Product_1,31,367,0
2023-02-26,Store_1,Product_1,37,212,0
2023-02-27,Store_1,Product_1,25,180,0
2023-02-28,Store_1,Product_1,31,229,0
2023-03-01,Store_1,Product_1,26,323,0
2023-03-02,Store_1,Product_1,21,225,0
2023-03-03,Store_1,Product_1,22,317,0
2023-03-04,Store_1,Product_1,36,423,0
2023-03-05,Store_1,Product_1,37,222,0
2023-03-06,Store_1,Product_1,21,379,0
2023-03-07,Store_1,Product_1,25,297,0
2023-03-08,Store_1,Product_1,26,339,0
2023-03-09,Store_1,Product_1,21,286,0
2023-03-10,Store_1,Product_1,26,358,0
2023-03-11,Store_1,Product_1,34,445,0
2023-03-12,Store_1,Product_1,48,247,1
2023-03-13,Store_1,Product_1,27,227,0
2023-03-14,Store_1,Product_1,42,228,1
2023-03-15,Store_1,Product_1,31,250,0
2023-03-16,Store_1,Product_1,30,351,0
2023-03-17,Store_1,Product_1,45,159,1
2023-03-18,Store_1,Product_1,31,403,0
2023-03-19,Store_1,Product_1,50,108,1
2023-03-20,Store_1,Product_1,29,403,0
2023-03-21,Store_1,Product_1,38,153,1
2023-03-22,Store_1,Product_1,43,215,1
2023-03-23,Store_1,Product_1,46,203,1
2023-03-24,Store_1,Product_1,24,211,0
2023-03-25,Store_1,Product_1,39,448,0
2023-03-26,Store_1,Product_1,32,437,0
2023-03-27,Store_1,Product_1,22,307,0
2023-03-28,Store_1,Product_1,29,167,0
2023-03-29,Store_1,Product_1,21,403,0
2023-03-30,Store_1,Product_1,24,491,0
2023-03-31,Store_1,Product_1,27,227,0
2023-04-01,Store_1,Product_1,31,470,0
2023-04-02,Store_1,Product_1,36,337,0
2023-04-03,Store_1,Product_1,41,150,1
2023-04-04,Store_1,Product_1,41,126,1
2023-04-05,Store_1,Product_1,22,196,0
2023-04-06,Store_1,Product_1,21,416,0
2023-04-07,Store_1,Product_1,23,291,0
2023-04-08,Store_1,Product_1,31,271,0
2023-04-09,Store_1,Product_1,50,479,1
2023-04-10,Store_1,Product_1,44,448,1
2023-04-11,Store_1,Product_1,21,194,0
2023-04-12,Store_1,Product_1,38,215,1
2023-04-13,Store_1,Product_1,25,260,0
2023-04-14,Store_1,Product_1,23,380,0
2023-04-15,Store_1,Product_1,55,157,1
2023-04-16,Store_1,Product_1,33,379,0
2023-04-17,Store_1,Product_1,22,441,0
2023-04-18,Store_1,Product_1,27,254,0
2023-04-19,Store_1,Product_1,45,372,1
2023-04-20,Store_1,Product_1,28,398,0
2023-04-21,Store_1,Product_1,26,269,0
2023-04-22,Store_1,Product_1,37,405,0
2023-04-23,Store_1,Product_1,39,415,0
2023-04-24,Store_1,Product_1,30,135,0
2023-04-25,Store_1,Product_1,24,499,0
2023-04-26,Store_1,Product_1,23,191,0
2023-04-27,Store_1,Product_1,22,314,0
2023-04-28,Store_1,Product_1,26,285,0
2023-04-29,Store_1,Product_1,36,441,0
2023-04-30,Store_1,Product_1,31,425,0
2023-05-01,Store_1,Product_1,26,200,0
2023-05-02,Store_1,Product_1,36,159,1
2023-05-03,Store_1,Product_1,25,361,0
2023-05-04,Store_1,Product_1,24,454,0
2023-05-05,Store_1,Product_1,27,243,0
2023-05-06,Store_1,Product_1,32,257,0
2023-05-07,Store_1,Product_1,33,418,0
2023-05-08,Store_1,Product_1,23,445,0
2023-05-09,Store_1,Product_1,25,417,0
2023-05-10,Store_1,Product_1,27,495,0
2023-05-11,Store_1,Product_1,25,221,0
2023-05-12,Store_1,Product_1,21,195,0
2023-05-13,Store_1,Product_1,36,336,0
2023-05-14,Store_1,Product_1,35,288,0
2023-05-15,Store_1,Product_1,27,168,0
2023-05-16,Store_1,Product_1,26,175,0
2023-05-17,Store_1,Product_1,30,185,0
2023-05-18,Store_1,Product_1,29,319,0
2023-05-19,Store_1,Product_1,25,193,0
2023-05-20,Store_1,Product_1,34,499,0
2023-05-21,Store_1,Product_1,40,440,0
2023-05-22,Store_1,Product_1,27,353,0
2023-05-23,Store_1,Product_1,25,109,0
2023-05-24,Store_1,Product_1,26,389,0
2023-05-25,Store_1,Product_1,24,349,0
2023-05-26,Store_1,Product_1,23,356,0
2023-05-27,Store_1,Product_1,38,103,0
2023-05-28,Store_1,Product_1,53,357,1
2023-05-29,Store_1,Product_1,36,259,1
2023-05-30,Store_1,Product_1,46,495,1
2023-05-31,Store_1,Product_1,22,132,0
2023-06-01,Store_1,Product_1,36,200,1
2023-06-02,Store_1,Product_1,38,267,1
2023-06-03,Store_1,Product_1,40,384,0
2023-06-04,Store_1,Product_1,32,341,0
2023-06-05,Store_1,Product_1,23,189,0
2023-06-06,Store_1,Product_1,28,189,0
2023-06-07,Store_1,Product_1,22,490,0
2023-06-08,Store_1,Product_1,24,213,0
2023-06-09,Store_1,Product_1,46,316,1
2023-06-10,Store_1,Product_1,50,263,1
2023-06-11,Store_1,Product_1,40,291,0
2023-06-12,Store_1,Product_1,38,135,1
2023-06-13,Store_1,Product_1,22,195,0
2023-06-14,Store_1,Product_1,43,323,1
2023-06-15,Store_1,Product_1,25,282,0
2023-06-16,Store_1,Product_1,27,460,0
2023-06-17,Store_1,Product_1,31,183,0
2023-06-18,Store_1,Product_1,39,286,0
2023-06-19,Store_1,Product_1,23,495,0
2023-06-20,Store_1,Product_1,44,364,1
2023-06-21,Store_1,Product_1,42,322,1
2023-06-22,Store_1,Product_1,24,466,0
2023-06-23,Store_1,Product_1,25,495,0
2023-06-24,Store_1,Product_1,39,152,0
2023-06-25,Store_1,Product_1,37,138,0
2023-06-26,Store_1,Product_1,25,497,0
2023-06-27,Store_1,Product_1,30,314,0
2023-06-28,Store_1,Product_1,31,338,0
2023-06-29,Store_1,Product_1,29,352,0
2023-06-30,Store_1,Product_1,26,240,0
2023-07-01,Store_1,Product_1,38,382,0
2023-07-02,Store_1,Product_1,40,128,0
2023-07-03,Store_1,Product_1,25,235,0
2023-07-04,Store_1,Product_1,36,244,1
2023-07-05,Store_1,Product_1,42,231,1
2023-07-06,Store_1,Product_1,24,374,0
2023-07-07,Store_1,Product_1,26,301,0
2023-07-08,Store_1,Product_1,40,225,0
2023-07-09,Store_1,Product_1,33,341,0
2023-07-10,Store_1,Product_1,30,416,0
2023-07-11,Store_1,Product_1,29,486,0
2023-07-12,Store_1,Product_1,29,468,0
2023-07-13,Store_1,Product_1,44,216,1
2023-07-14,Store_1,Product_1,41,272,1
2023-07-15,Store_1,Product_1,35,312,0
2023-07-16,Store_1,Product_1,56,263,1
2023-07-17,Store_1,Product_1,23,146,0
2023-07-18,Store_1,Product_1,29,242,0
2023-07-19,Store_1,Product_1,21,473,0
2023-07-20,Store_1,Product_1,38,111,1
2023-07-21,Store_1,Product_1,45,457,1
2023-07-22,Store_1,Product_1,38,107,0
2023-07-23,Store_1,Product_1,40,189,0
2023-07-24,Store_1,Product_1,28,277,0
2023-07-25,Store_1,Product_1,40,291,1
2023-07-26,Store_1,Product_1,31,244,0
2023-07-27,Store_1,Product_1,29,311,0
